,Name,Institution(s),Country/Territory,Researcher ID,Keywords,Other Names
1,RAOULT Didier  ,,,,,
"Aix Marseille University AMU ; King Abdulaziz University, Jeddah, Saudi Arabia  ",France ,A-8434-2008,,,,
2,Amine Khalil   ,,,,,
"Argonne National Laboratory ; King Abdulaziz University,  ",United States ,C-4429-2013,,,,
3,Kuang Yang   ,,,,,
Arizona State University ; King Abdulaziz University  ,United States ,A-2289-2008,,,,
4,Chen Bin   ,,,,,
"Beijing Normal University, Beijing, China ; King Abdulaziz University, Jeddah, Saudi Arabia  ",China ,A-6951-2012,,,,
5,Yang Huanming   ,,,,,
"BGI ; King Abdulaziz University, Jeddah, Saudi Arabia  ",China ,C-6513-2013,,,,
6,Wang Jun   ,,,,,
BGI-SHENZHEN ; King Abdulaziz University  ,China ,A-7261-2013,"genomics, bioinformatics  ",,,
7,Rifai Nader   ,,,,,
Boston Children's Hospital ; King Abdulaziz University  ,United States ,B-4376-2013,,,,
8,XU Bing   ,,,,,
Brandeis University ; King Abdulaziz University (Adjunct)  ,United States ,A-7828-2008,,
9,Liu Xiaohui   ,,,
Brunel University ; King Abdulaziz University  ,United Kingdom ,B-5046-2013,"intelligent data analysis, artificial intelligence, biomedical informatics, engineering  ",
10,Hassibi Babak   ,,,
California Institute of Technology ; King Abdulaziz University  ,United States ,A-1314-2007,,
11,Ammari Ahmed    ,,,
Carthage University ; King Abdulaziz University  ,Tunisia ,I-6169-2013,,"Ammari, A. C., Ammari, Ahmed, Ammari, Ahmed C, Ammari, Ahmed Chiheb, Ammari, Ahmed Chibeb  "
12,de Hoog G.   ,,,
"CBS-KNAW Fungal Biodiversity Centre, CBS ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Netherlands ,C-7178-2013,"medical mycology, extremophilic fungi  ",Sybren de Hoog  
13,Henrissat Bernard   ,,,
"Centre National de la Recherche Scientifique, CNRS ; King Abdulaziz University  ",France ,J-2475-2012,,
14,Lu Jinhu   ,,,
"Chinese Academy of Sceinces, Chinese Acad Sci, Chin Acad Sci, CAS ; King Abdulaziz University, KAU, Jeddah, Saudi Arabia  ",China ,B-6851-2013,control theory  ,"Lu, JH, Lue, JH, Lv, JH, Lv, J, Lue, J, Lu, J  "
15,Tjong S C   ,,,
"City University of Hong Kong ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Hong Kong SAR ,C-2924-2013,"nanocomposites, metals, polymer composites  ",
16,Agarwal Ashok  ,,,
Cleveland Clinic ; King Abdulaziz University  ,United States ,B-1689-2013,molecular causes of male and female reproductive pathologies  ,
17,Tippett Michael  ,,,
Columbia University ; King Abdulaziz University  ,United States ,C-6286-2011,,
18,Biswas Anjan    ,,,
"Delaware State University ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,D-8500-2012,,
19,Hirokawa Nobutaka   ,,,
"Department of Cell Biology and Anatomy, Graduate School of Medicine, University of Tokyo ; King Abdulaziz University KAU  ",Japan ,F-6617-2011,"cytoskeketon, molecular motors, intracellular transport  ",
20,Kyrpides Nikos  ,,,
"DOE Joint Genome Institute ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",United States ,A-6305-2014,"microbial genomics, metagenomics, bioinformatics, computational biology, evolution, microbial diversity, sequence analysis, omics data  ","Kyrpides NC, Kyrpides N, Kyprides N  "
21,Berger James   ,,,
Duke University ; King Abdulaziz University  ,United States ,C-6067-2013,,"Berger, Jim, Berger, James O., Berger, Jim O.  "
22,Moody James   ,,,
Duke University ; King Abdulaziz University KAU  ,United States ,E-2888-2014,,
23,Reif John   ,,,
Duke University (Distinguished Professor) ; King Abdulaziz University - KAU (Adjunct Professor)  ,United States ,C-2684-2008,"computer science, algorithm, computational complexity, dna assembly, nanoscience, dna computation, self assembly, robotics, motion planning, game theory, algebraic computation, randomized algorithms, parallel algorithm  ","JH Reif, John Reif, J Reif, J.H. Reif, J. Reif, John Henry Reif  "
24,Cullen Bryan   ,,,
"Duke University Medical Center ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,N-3216-2013,"virology, microbiology, micrornas, rna interference  ",
25,Graetzel Michael   ,,,
"Ecole Polytechnique Fédérale de Lausanne (EPFL) ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Switzerland ,G-4870-2011,"photochemistry, solar energy conversion, photovoltaic cells, batteries (lithium-air, lithium-sulfur, lithium-ion, hybrid battery), electrochemistry, artificial photosynthesis  ",
26,Nazeeruddin Md.   ,,,
"EPFL ; King Abdulaziz University KAU, Jeddah, Saudi Arabia  ",Switzerland ,B-1323-2008,,
27,Zakeeruddin Shaik Mohammed   ,,,
"EPFL (Swiss Federal Institute of Technology in Lausanne) ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Switzerland ,D-3244-2014,,
28,Bakker Arnold   ,,,
Erasmus University Rotterdam ; King Abdulaziz University  ,Netherlands ,F-8494-2010,,"Bakker A, Baker AB, Bakker AB  "
29,Glynn David   ,,,
"Flinders University of South Australia ; King Abdulaziz University, KAU  ",Australia ,A-6913-2012,"geometry, combinatorics, coding theory, invariants, mathematics  ","Glynn, D.G., Glynn, D.  "
30,Beaver Kevin   ,,,
Florida State University (FSU) ; King Abdulaziz University  ,United States ,B-4631-2013,,
31,Nöth Elmar   ,,,
"Friedrich-Alexander-University Erlangen-Nuremberg ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Germany ,C-2355-2013,"speech processing, speaker characterization, prosody, speech recognition  ","Noeth, E., Nöth, E., Noeth, Elmar  "
32,Fang Xiaosheng   ,,,
Fudan University ; King Abdulaziz University  ,China ,A-8695-2008,"zns, nanostructures, nanodevices, sensors, one-dimensional  ",
33,Zhao Dongyuan   ,,,
Fudan University ; King Abdulaziz University KAU  ,China ,E-5796-2010,"mesoporous materials, synthesis  ",
34,Fornace Albert   ,,,
Georgetown University ; King Abdulaziz University  ,United States ,A-7407-2008,,"Fornace a*, Fornace aj, fornace aj jr  "
35,de Heer Walt   ,,,
"Georgia Institue of Technology, Georgia Tech ; King Abdulaziz University (KAU)  ",United States ,C-9521-2014,,"Deheer, W.A.  "
36,Pashley David   ,,,
"Georgia Regents University ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,C-6985-2013,,
37,Chou Kuo-Chen    Highly Cited Researcher Icon ,,,
Gordon Life Science Institute ; King Abdulaziz University  ,United States ,A-8340-2009,"bioinformatics, computer-aided drug design, protein-structural prediction, low-frequency (terahertz) internal motion of protein and dna and its biological functions, graphic rules in enzyme kinetics and other biological systems, diffusion-controlled reactions of enzymes, genome analysis, computational proteomics, system biology, computational biology  ",
38,Qin Xiaolong   ,,,
Hangzhou Normal University ; King Abdulaziz University (KAU)  ,China ,H-8421-2013,"nonlinear analysis, optimization  ","X. Qin, X.L. Qin  "
39,Gao Huijun   ,,,
Harbin Institute of Technology (HIT) ; King Abdulaziz University KAU  ,China ,B-6853-2013,"networked control, robust control/filter theory, time-delay systems  ",
40,Khademhosseini Ali   ,,,
Harvard Medical School and Brigham and Women's Hospital ; King Abdulaziz University  ,United States ,A-9435-2010,"bioengineering, microfluidics, biomaterials  ",
41,Hu Frank   ,,,
Harvard School of Public Health (HSPH) ; King Abdulaziz University  ,United States ,C-1919-2013,,
42,Jacob Daniel   ,,,
"Harvard University ; King Abdulaziz University, Jeddah, Saudi Arabia  ",United States ,B-2519-2014,,
43,Christie Robert  ,,,
Heriot-Watt University ; King Abdulaziz University (KAU)  ,United Kingdom ,B-2160-2013,"colour chemistry, chromic materials: photochromic and thermochromic, computational design of dyes and pigments, organic pigment chemistry and technology, textile chemistry, textile chemistry  ","R M Christie, Professor Robert M Christie  "
44,Cheng Y.M.   ,,,
"HONG KONG POLYTECHNIC UNIVERSITY ; King Abdulaziz University, Jeddah, Saudi Arabia  ",Hong Kong SAR ,D-1853-2013,,
45,Odintsov Sergey    ,,,
"ICREA and ICE(CSIC-IEEC),Barcelona ; King Abdulaziz Univ.(KAU), Jeddah and TSPU, Tomsk  ",Spain ,C-9691-2014,,"Odintsov,S.D. , Odintsov Sergei, Odintsov, Sergey D.  "
46,Ramamurty Upadrasta   ,,,
"Indian Institute of Science ; King Abdulaziz University, Jeddah, Saudi Arabia  ",India ,E-5623-2011,"mechanical behaviour of materials, metallic foams, metallic glasses, shape memory alloys, composites, indentation, ti alloys and tial based alloys, mg alloys  ",
47,Banerjee Soumitro   ,,,
"Indian Institute of Science Education & Research, Kolkata ; King Abdulaziz University - KAU (Distinguished Adjunct Professor)  ",India ,F-8162-2011,,
48,Cheng Hui-Ming   ,,,
"Institute of Metal Research, The Chinese Academy of Sciences ; King Abdulaziz University  ",China ,B-8682-2012,"carbon nanotube, graphene, energy storage materials, photocatalytic materials  ",Huiming Cheng  
49,Choi Byoung Kyu   ,,,
KAIST ; King Abdulaziz University  ,"Korea, Republic of ",C-1865-2011,,"Byoung K. Choi, B.K. Choi  "
50,Gill Bikram   ,,,
Kansas State University ; King Abdulaziz University  ,United States ,F-6564-2011,"genetic resources, wheat, pest resistance  ",
51,Yao Jen-Chih   ,,,
"Kaohsiung Medical University ; King Abdulaziz University (KAU), Jeddah, Saudi Arabia  ",Taiwan ,A-9636-2013,,
52,Rodi Wolfgang   ,,,
Karlsruhe Institute of Technology ( KIT) ; King Abdulaziz University (KAU)  ,Germany ,A-6734-2012,,
839,Akan Ozgur   ,,,
Koc University ; King Abdulaziz University (Distinguished Adjunct Professor)  ,Turkey ,C-7150-2013,,
840,AlSaleem Saleem    ,,,
"KSU ; King Abdulaziz City for Science and Technology, KACST  ",Saudi Arabia ,K-3386-2014,,"S. AlSaleem, Alsaleem, S.  "
841,Suzuki Tomonari   ,,,
Kyushu Institute of Technology ; King Abdulaziz University  ,Japan ,C-1625-2014,,
842,Stevic Stevo   ,,,
